Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
,,,,WL-JM1385,1060,,,,,,,,,New,,,,,,,
,,,,WL-JM1388,1063,,,,,,,,,New,,,,,,,
,,,,WL-JM1400,1073,13.04.2023,3037173,1L1,m7a831670,16944,"315/70 R22,5",DURS2,Bridgestone,New,28.10.2022,13.1,9.0,,,,
,,,,,,,,1R1,a7s142130,16944,"315/70 R22,5",DURS2,Bridgestone,New,28.10.2022,13.1,9.0,,,,
,,,,,,,,2L1,F2T123456,16953,"315/70 R22,5",DURD2,Bridgestone,New,12.04.2023,16.6,,,,,
,,,,,,,,2L2,F2T771942,16953,"315/70 R22,5",DURD2,Bridgestone,New,13.04.2023,16.6,,,,,
,,,,WL-JM1403,1076,,,,,,,,,New,,,,,,,
,,,,WL-JM1439,1102,,,,,,,,,New,,,,,,,
,,,,WL-JM1440,1103,17.10.2022,2752367,1L1,E7S466795,16944,"315/70 R22,5",DURS2,Bridgestone,New,17.10.2022,13.1,,,,,
,,,,WL-JM1443,1106,,,,,,,,,New,,,,,,,
,,,,WL-JM1447,10028,,,,,,,,,New,,,,,,,
,,,,WL-JM1448,10029,,,,,,,,,New,,,,,,,
,,,,WL-JM1453,10034,23.08.2022,2632068,1L1,G7T344255,13498,"385/55 R22,5",ECOHS2,Bridgestone,New,23.08.2022,10.5,9.0,,,,
,,,,,,,,1R1,D7T226452,13498,"385/55 R22,5",ECOHS2,Bridgestone,New,23.08.2022,10.5,9.0,,,,
,,,,,,,,2R2,B7T317398,13511,"315/70 R22,5",ECOHD2,Bridgestone,New,13.07.2022,13.7,75.0,,,,
,,,,WL-JM1454,10035,08.08.2022,2604047,1L1,J7T338404,16940,"385/55 R22,5",DURS2,Bridgestone,New,08.08.2022,13.0,9.0,,,,
,,,,,,,,1R1,J7T338192,16940,"385/55 R22,5",DURS2,Bridgestone,New,08.08.2022,13.0,9.0,,,,
,,,,WL-JM1458,10040,,,,,,,,,New,,,,,,,
,,,,WL-JM1476,10059,,,,,,,,,New,,,,,,,
,,,,WL-JM1477,10060,,,,,,,,,New,,,,,,,
,,,Semi Trailer,WL-JM760,1733,,,,,,,,,New,,,,,,,
,,,Trailer,WL-JM233,1517,,,,,,,,,New,,,,,,,
,,,,WL-JM245,1612,,,,,,,,,New,,,,,,,
,,,,WL-JM622,1564,28.09.2022,2705497,3L1,6152010588 Conti HT3,1534861,"385/65 R22,5",TRAILER,Michelin,New,28.09.2022,16.0,9.0,,,,
,,,,WL-JM651,1682,18.01.2023,2891956,1R1,F2T66080911,10852,"385/65 R22,5",DURT2,Bridgestone,New,18.01.2023,15.7,,,,,
