Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
"ST-HS1951,1725.0,2023-10-19,3TR,2.0,9.2,385/65R22.5,MICHELIN,XZY3 160K REMIX,""['385/65R22.5', 'TL', 'XZY3', '160K', 'REMIX', 'K']""";;;;;;;;;;;take tires with tread depth 14 for 3 axle
"ST-HS1952,1735.0,2023-08-04,1TR,4.0,8.5,385/65R22.5,MICHELIN,XTE3,""['385/65R22.5', '160J158L', 'XTE3', 'VG', '20']""";;;;;;;;;;;take tires with tread depth 14 for 1 axle
"ST-HS1979,1804.0,2023-09-07,1TR,16.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;leave out, need to ask client
ST-HS1980,,,,,,,,,;;;;;;;;;;;take values from 07.10.2023
"ST-HS2023,1841.0,2023-10-19,3TR,2.0,7.8,385/65R22.5,GOODYEAR,FUELMAX,""['385/65R22.5', 'FUELMAX', 'T', 'HL', '164K158L', 'M+S', 'TL']""";;;;;;;;;;;take tire JYA7087E for 3 axle right
"ST-HS2024,1844.0,2023-05-20,1TR,9.0,9.5,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
ST-HS2027,,,,,,,,,;;;;;;;;;;;take values from 25.08.2023
"ST-HS2105,1918.0,2023-08-31,3TR,16.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;leave out, need to ask client
ST-HS2112,,,,,,,,,;;;;;;;;;;;take values from 13.10.2023
"ST-HS2113,1947.0,2023-05-12,1TR,1.0,9.0,385/65R22.5,GOODYEAR,FUELMAX,""['385/65R22.5', 'FUELMAX', 'T', 'HL', '164K158L', 'M+S', 'TL']""";;;;;;;;;;;take tires with tread depth 15 for 1 axle
ST-HS2117,,,,,,,,,;;;;;;;;;;;take values from 04.08.2023
"ST-HS2118,1983.0,2023-05-13,3TR,15.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 15 for 1 and 3 axle
"ST-HS527,2150.0,2023-08-19,1TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 7996532547 for 1 axle left
"ST-HS536,2183.0,2023-10-19,3TR,3.0,9.2,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-HS539,2192.0,2023-07-08,1TR,3.5,8.5,385/65R22.5,MICHELIN,X MULTI HL,""['385/65R22.5', '164K', 'X', 'MULTI', 'HL', 'T']""";;;;;;;;;;;take tire 37779192 for 1 axle right
"ST-HS543,2206.0,2023-10-19,3TR,14.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;take tires with tread depth 14 for 1 and 3 axle
ST-HS544,,,,,,,,,;;;;;;;;;;;take values from 19.05.2023
"ST-HS553,2260.0,2023-09-07,3TR,11.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with 16 tread depth for 1 axle and 38582725 for 3 axle right
